Alabama, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,79.5,0.2
189608,82.2,2.9
189708,78.8,-0.5
189808,78.8,-0.5
189908,80.9,1.6
190008,81.2,1.9
190108,78.7,-0.6
190208,82.3,3.0
190308,80.6,1.3
190408,78.6,-0.7
190508,79.4,0.1
190608,80.5,1.2
190708,80.5,1.2
190808,79.7,0.4
190908,81.0,1.7
191008,79.6,0.3
191108,79.0,-0.3
191208,79.1,-0.2
191308,80.6,1.3
191408,79.2,-0.1
191508,79.1,-0.2
191608,79.8,0.5
191708,78.4,-0.9
191808,80.3,1.0
191908,79.2,-0.1
192008,77.6,-1.7
192108,80.4,1.1
192208,78.8,-0.5
192308,78.7,-0.6
192408,81.5,2.2
192508,80.4,1.1
192608,80.3,1.0
192708,78.0,-1.3
192808,80.6,1.3
192908,79.9,0.6
193008,79.1,-0.2
193108,77.4,-1.9
193208,80.2,0.9
193308,79.6,0.3
193408,80.1,0.8
193508,80.9,1.6
193608,80.2,0.9
193708,80.3,1.0
193808,80.8,1.5
193908,77.8,-1.5
194008,79.6,0.3
194108,80.1,0.8
194208,77.8,-1.5
194308,81.4,2.1
194408,78.8,-0.5
194508,79.4,0.1
194608,77.3,-2.0
194708,80.6,1.3
194808,78.4,-0.9
194908,78.9,-0.4
195008,77.1,-2.2
195108,82.4,3.1
195208,79.7,0.4
195308,79.0,-0.3
195408,83.4,4.1
195508,80.3,1.0
195608,80.1,0.8
195708,79.5,0.2
195808,78.9,-0.4
195908,80.2,0.9
196008,79.1,-0.2
196108,77.4,-1.9
196208,80.3,1.0
196308,79.3,0.0
196408,78.1,-1.2
196508,78.4,-0.9
196608,77.5,-1.8
196708,75.2,-4.1
196808,79.4,0.1
196908,77.1,-2.2
197008,79.1,-0.2
197108,77.7,-1.6
197208,79.1,-0.2
197308,77.6,-1.7
197408,77.8,-1.5
197508,78.5,-0.8
197608,77.1,-2.2
197708,79.6,0.3
197808,79.3,0.0
197908,78.4,-0.9
198008,81.5,2.2
198108,78.3,-1.0
198208,78.6,-0.7
198308,81.1,1.8
198408,77.3,-2.0
198508,78.4,-0.9
198608,78.4,-0.9
198708,81.3,2.0
198808,80.4,1.1
198908,78.6,-0.7
199008,80.9,1.6
199108,78.8,-0.5
199208,75.8,-3.5
199308,80.1,0.8
199408,77.2,-2.1
199508,81.9,2.6
199608,77.9,-1.4
199708,77.7,-1.6
199808,79.9,0.6
199908,81.8,2.5
200008,81.0,1.7
200108,78.5,-0.8
200208,79.7,0.4
200308,79.4,0.1
200408,76.3,-3.0
200508,80.5,1.2
200608,82.3,3.0
200708,84.4,5.1
200808,78.4,-0.9
200908,78.0,-1.3
201008,83.0,3.7
201108,81.8,2.5
201208,78.1,-1.2
201308,77.9,-1.4
201408,79.5,0.2
201508,79.0,-0.3
201608,81.6,2.3
201708,78.8,-0.5
201808,79.5,0.2
201908,80.5,1.2
